id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2021-05-15 08:31:52,突尼斯,325280,0,286230,11727,0,0.0,457.0,,1476.0,34.0,,,
9507896,2021-05-15 08:31:53,塞尔维亚,705185,0,0,6646,0,0.0,1688.0,,0.0,0.0,,,
0,2021-05-15 19:37:08,中国,104178,0,98593,4858,0,5824.0,238.0,,37.0,0.0,,204.0,9.0
1,2021-05-15 17:51:59,日本本土,674843,0,584035,11333,0,0.0,1395.0,,4745.0,3.0,,,
2,2021-05-15 15:52:00,泰国,99145,0,26873,565,0,0.0,3095.0,,0.0,17.0,,,
3,2021-05-15 17:51:59,新加坡,61536,0,61047,31,0,0.0,31.0,,18.0,0.0,,,
4,2021-05-15 10:56:59,韩国,131061,0,121282,1896,0,0.0,681.0,,887.0,3.0,,,
5,2021-05-15 15:52:00,澳大利亚,29965,0,23490,910,0,0.0,8.0,,5.0,0.0,,,
6,2021-05-15 20:57:09,德国,3593802,0,3284300,86030,0,0.0,7117.0,,16110.0,162.0,,,
7,2021-05-15 10:11:51,美国,33664013,0,26712821,599314,0,0.0,38285.0,,45622.0,774.0,,,
8,2021-05-15 19:52:00,马来西亚,466330,0,422329,1866,0,0.0,4140.0,,3432.0,44.0,,,
9,2021-05-15 18:52:01,越南,3854,0,2657,36,0,0.0,38.0,,0.0,1.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2021-05-15 08:31:52,肯尼亚,165112,0,113432,2976,0,0.0,392.0,,184.0,8.0,,,
826,2021-05-15 08:31:53,伊朗,2732152,0,2196197,76433,0,0.0,10145.0,,0.0,0.0,,,
827,2021-05-15 08:31:52,以色列,839079,0,831898,6380,0,0.0,37.0,,0.0,0.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2021-05-15 08:31:52,黎巴嫩,534968,0,492270,7569,0,0.0,580.0,,0.0,0.0,,,
833,2021-05-15 19:52:00,克罗地亚,349910,0,335337,7687,0,0.0,826.0,,1131.0,23.0,,,
834,2021-05-15 20:57:09,奥地利,636424,0,614803,10470,0,0.0,644.0,,2280.0,15.0,,,
835,2021-05-15 08:31:52,瑞士,679510,0,317600,10730,0,0.0,2300.0,,0.0,0.0,,,
839,2021-05-15 08:31:52,希腊,373881,0,93764,11322,0,0.0,2169.0,,0.0,56.0,,,
95800,2021-05-15 17:51:59,毛里求斯,1280,0,1131,17,0,0.0,3.0,,1.0,0.0,,,
845,2021-05-15 17:36:58,爱沙尼亚,126922,0,118553,1220,0,0.0,280.0,,545.0,3.0,,,
846,2021-05-15 08:31:52,北马其顿,154524,0,143427,5184,0,0.0,30.0,,358.0,16.0,,,
850,2021-05-15 20:57:09,白俄罗斯,374714,0,365255,2691,0,0.0,1363.0,,1382.0,10.0,,,
851,2021-05-15 15:52:00,立陶宛,264724,0,239702,4088,0,0.0,1249.0,,2271.0,4.0,,,
852,2021-05-15 08:31:53,阿塞拜疆,328994,0,312460,4754,0,0.0,835.0,,0.0,0.0,,,
875097,2020-06-12 17:06:26,美属维尔京群岛,72,0,46,6,0,,,,,,,,
95826,2020-06-15 13:26:49,蒙古,197,0,98,0,0,,,,,,,,
872,2021-05-15 17:36:58,乌克兰,2206627,0,1901897,49881,0,0.0,6919.0,,17254.0,327.0,,,
874,2021-05-15 17:51:59,波兰,2851911,0,2595635,71609,0,0.0,2897.0,,6358.0,298.0,,,
879,2021-05-15 08:31:52,波黑,202143,0,168549,8981,0,0.0,140.0,,0.0,0.0,,,
80902,2020-06-12 17:02:32,蒙特塞拉特,11,0,10,1,0,,,,,,,,
880,2021-05-15 08:31:52,南非,1608393,0,1522165,55124,0,0.0,3141.0,,1287.0,112.0,,,
95198,2020-06-15 14:48:50,布隆迪,85,0,45,1,0,,,,,,,,
95215522,2020-06-15 07:27:53,南苏丹,1755,0,58,30,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
893,2021-05-15 19:52:00,马耳他,30478,0,29884,417,0,0.0,4.0,,7.0,0.0,,,
896,2021-05-15 08:31:52,摩尔多瓦,253567,0,244487,6006,0,0.0,181.0,,189.0,11.0,,,
897,2021-05-15 08:31:52,保加利亚,413838,0,361993,17243,0,0.0,518.0,,1991.0,49.0,,,
898,2021-05-15 19:52:00,孟加拉,779796,0,721435,12124,0,0.0,261.0,,964.0,22.0,,,
899,2020-06-15 10:20:56,阿尔巴尼亚,1521,0,1044,36,0,,,0.0,,,0.0,,
950000,2021-05-15 08:31:52,巴勒斯坦,303270,0,288891,3401,0,0.0,0.0,,0.0,0.0,,,
95kml,2020-06-15 13:47:09,科摩罗,176,0,114,2,0,,,,,,,,
953333,2021-05-15 19:52:00,阿富汗,63355,0,54663,2730,0,0.0,310.0,,29.0,0.0,,,
95888822,2021-05-15 08:31:53,沙特阿拉伯,431432,0,415747,7134,0,0.0,927.0,,1608.0,12.0,,,
9511123,2021-05-15 08:31:52,新西兰,2645,0,2601,26,0,0.0,1.0,,0.0,0.0,,,
95333,2021-05-15 08:31:53,塔吉克斯坦,13308,0,13218,90,0,0.0,0.0,,0.0,0.0,,,
83356,2020-06-15 13:25:33,泽西岛,313,0,292,15,0,0.0,,,,,,,
954467,2020-06-15 13:51:09,叙利亚,177,0,74,6,0,,,0.0,,,0.0,,
95327,2021-05-15 09:07:00,巴拿马,370043,0,358670,6292,0,0.0,588.0,,312.0,4.0,,,
95329,2021-05-15 08:31:52,古巴,121838,0,114544,785,0,0.0,1277.0,,1051.0,7.0,,,
9511111,2021-05-15 09:07:00,尼日利亚,165661,0,156399,2066,0,0.0,49.0,,12.0,0.0,,,
95858585,2021-05-15 08:31:52,摩洛哥,514705,0,502604,9092,0,0.0,35.0,,399.0,1.0,,,
9500222,2021-05-15 08:31:53,塞内加尔,40806,0,39529,1122,0,0.0,44.0,,0.0,0.0,,,
95118,2020-06-15 14:24:59,老挝,19,0,19,0,0,,,,,,,,
95350,2021-05-15 08:31:52,巴哈马,11024,0,9967,216,0,0.0,58.0,,0.0,0.0,,,
84226,2020-06-15 10:14:23,马约特岛,2282,0,1790,28,0,0.0,,,,,,,
954444,2021-05-15 17:51:59,斯洛文尼亚,249014,0,237061,4320,0,0.0,494.0,,1012.0,6.0,,,
95103,2021-05-15 08:31:52,卢森堡,68922,0,66183,806,0,0.0,174.0,,0.0,0.0,,,
95106,2021-05-15 08:31:52,爱尔兰,254870,0,23364,4941,0,0.0,857.0,,0.0,0.0,,,
95102,2021-05-15 08:31:53,厄瓜多尔,407002,0,342878,19514,0,0.0,1219.0,,0.0,72.0,,,
957777,2021-05-15 17:36:58,捷克,1652238,0,1592219,29886,0,0.0,1060.0,,3873.0,29.0,,,
9522222,2021-05-15 17:36:58,匈牙利,797429,0,618608,29114,0,0.0,1039.0,,9717.0,73.0,,,
8101,2020-06-15 10:57:56,法属圭亚那,1255,0,534,3,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8102,2020-06-15 11:45:39,多哥共和国,530,0,291,13,0,0.0,,,,,,,
8100,2021-05-15 08:31:52,哥斯达黎加,282741,0,221903,3547,0,0.0,2815.0,,2798.0,33.0,,,
8105,2021-05-15 08:31:52,文莱,232,0,220,3,0,0.0,1.0,,0.0,0.0,,,
8103,2020-06-15 13:46:38,法罗群岛,187,0,187,0,0,0.0,,,,,,,
8104,2021-05-15 08:31:52,马提尼克岛,37,0,0,1,0,0.0,5.0,,0.0,0.0,,,
